uid,Main Heading,Sub-Heading,Sub-Sub-Heading,Comments,Drug Name,Urinary Excretion (%),Half-Life (hr),Protein Binding (%),Volume of Distribution (L/kg),Clearance (L/hr),Clearance Slope (do not display),Clearance Intercept (do not display),Dose of Normal Renal Function,2nd Dose ,Adjustment (Dose/Interval),Stage 1 (>89),Stage 2 (60-89),Stage 3 (30-59),Stage 4 (15-29),Stage 5 (<15),Intermitent HD,Peritoneal Dialysis,Continous Renal Replacement,References,Toxicity
115,Antihypertensive and Cardiovascular Agents,Cardiovascular Agents,Miscellaneous Cardiac Drugs,,Fenoldopam,<5,5 min/No data,No data,0.2,,,,0.05 to 0.1 &#181;g/kg/min ,"Second Dose: 0.05-0.3 &#181;g/kg/min, titrate by 0.05-0.1 &#181;g/kg/min q15min",,0.05 to 0.1 &#181;g/kg/min ,100% [D],100% [D],100% [D],100% [D],"IHD: None, [D]","PD: None, [D] ","CRRT: Dose for GFR 10-50, titrate, [D]","Brogden RN, Markham A. Fenoldopam: a review of its pharmacodynamic and pharmacokinetic properties and intravenous clinical potential in the management of hypertensive urgencies and emergencies. Drugs. 1997; 54: 634-50. [PMID: 9339965] / Taylor AA, Shepherd AM, Polvino W, Mangoo-Karim R, Ballard K, Sunthornyothin S, et al. Prolonged fenoldopam infusions in patients with mild to moderate hypertension: pharmacodynamic and pharmacokinetic effects. Am J Hypertens. 1999; 12: 906-14. [PMID: 10509549]",Little is known about the effects of fenoldopam in renal insufficiency. Titrate based on blood pressure. No beneficial clinical effect on renal function has been shown in patients with heart failure or hepatic or severe renal disease.
116,Antihypertensive and Cardiovascular Agents,Cardiovascular Agents,Miscellaneous Cardiac Drugs,,Mecamylamine,,,,,,,,,,D,,Avoid,Avoid,Avoid,Avoid,IHD: Avoid,PD: Avoid ,"CRRT: Dose for GFR 10-50,[D]",,"Little information on the kinetics of mecamylamine. Until more data are available, other therapeutic options should be sought."
117,Antihypertensive and Cardiovascular Agents,Cardiovascular Agents,Miscellaneous Cardiac Drugs,,Midodrine,75-80,0.5/No data,No data,No data,,,,No data,,,No data,5-10 mg q8h [D],5-10 mg q8h [D],5-10 mg q8h [D],No data[D],IHD: 5 mg q8h ,PD: No data,"CRRT: Dose for GFR 10-50, titrate, [D]","McTavish D, Goa KL. Midodrine. A review of its pharmacological properties and therapeutic use in orthostatic hypotension and secondary hypotensive disorders. Drugs. 1989; 38: 757-77. [PMID: 2480881]",Increased blood pressure.
118,Antihypertensive and Cardiovascular Agents,Cardiovascular Agents,Miscellaneous Cardiac Drugs,,Milrinone,80-85,1/1.5-3.0,No data,0.25-0.35,,,,"15-75 &#181;g/kg IV load, then 2.5-15 mg PO q6h",,D,"15-75 &#181;g/kg IV load, then 2.5-15 mg PO q6h",100% [A],100% [A],100% [A],50-75% [A],IHD: No data,PD: No dat,"CRRT: Dose for GFR 10-50,titrate, [D]","Larsson R, Liedholm H, Andersson KE, Keane MA, Henry G. Pharmacokinetics and effects on blood pressure of a single oral dose of milrinone in healthy subjects and in patients with renal impairment. Eur J Clin Pharmacol. 1986; 29: 549-53. [PMID: 3956560] / Young RA, Ward A. Milrinone. A preliminary review of its pharmacological properties and therapeutic use. Drugs. 1988; 36: 158-92. [PMID: 3053125]",
119,Antihypertensive and Cardiovascular Agents,Cardiovascular Agents,Miscellaneous Cardiac Drugs,,Phenoxybenzamine,Unknown,24/No data,Unknown,Unknown,,,,10 mg q12h ,Second Dose: 20-40 mg q8-12h,,10 mg q12h ,100% [D],100% [D],100% [D],Avoid,IHD: Avoid,PD: Avoid,"CRRT: Dose for GFR 10-50, [D]","Seyffart G. Drug Dosage in Renal Insufficiency. Dordrecht, The Netherlands: Kluwer Academic; 1991.","The half-life of orally administered phenoxybenzamine is not known; however, the half-life of the IV-administered drug is approximately 24 hours. Avoid in patients with renal insufficiency."
120,Antihypertensive and Cardiovascular Agents,Cardiovascular Agents,Nitrates,,Isosorbide dinitrate,<1,0.6-2.0/Unchanged,28,2.2-8.6,,,,2.5-5 mg 15 min before activity,,,2.5-5 mg 15 min before activity,100% [A],100% [A],100% [A],100% [A],"IHD: None, [A] ","PD: None, [D]","CRRT: Dose for GFR 10-50, [D]","Evers J, Bonn R, Boertz A, Cawello W, Dickmans HA, Weiss M. Pharmacokinetics of isosorbide dinitrate, isosorbide-2-nitrate and isosorbide-5-nitrate in renal insufficiency after repeated oral dosage. Klin Wochenschr. 1989; 67: 342-8. [PMID: 2709744] / Fung HL. Pharmacokinetics and pharmacodynamics of organic nitrates. Am J Cardiol. 1987; 60: 4H-9H. [PMID: 3120565]","Every dosing regimen for ISDN must provide a daily dose-free interval to minimize the development of tolerance. In the case of sublingual tablets, it is probably true that one of the daily dose-free intervals must be somewhat longer than 14 hours."
121,Antihypertensive and Cardiovascular Agents,Cardiovascular Agents,Nitrates,,Isosorbide mononitrate,<5,4.9/No data,5,0.73,,,,30-60 mg q24h ,Second Dose: 60-240 mg q24h,,30-60 mg q24h ,100% [D],100% [D],100% [D],100% [D],"IHD: Dose after dialysis,[D]","PD: None, [D]","CRRT: Dose for GFR 10-50, [D]",,
122,Antihypertensive and Cardiovascular Agents,Cardiovascular Agents,Nitrates,,Nitroglycerine,<1,2-4 min/Unchanged,No data,2-3,,,,Many routes and methods,,D,Many routes and methods,100%[D],100%[D],100%[D],100%[D],IHD: No data,PD: No data,"CRRT: Dose for GFR 10-50, titrate, [D]","Fung HL. Pharmacokinetics and pharmacodynamics of organic nitrates. Am J Cardiol. 1987; 60: 4H-9H. [PMID: 3120565] / Todd PA, Goa KL, Langtry HD. Transdermal nitroglycerin (glyceryl trinitrate). A review of its pharmacology and therapeutic use. Drugs. 1990; 40: 880-902. [PMID: 2127741]",
123,Antimicrobial Agents,Antibacterial Antibiotics,Aminoglycoside Antibiotics," Nephrotoxic, ototoxic. Toxicity worse when hyperbilirubinemic. Measure serum levels for efficacy and toxicity. Peritoneal absorption increases with presence of inflammation. Vd increases with edema, obesity, and ascites. Do not use once-daily dosing in patients with CrCl <30-40 mL/min or in patients with acute renal failure or uncertain level of kidney function.",Amikacin,95,1.4-2.3/17-150,<5,0.22-0.29,,,,7.5 mg/kg q12h or 15 mg/kg qd,,I,7.5 mg/kg q12h or 15 mg/kg qd,100% q12 or 24h [B],100% q24-72h by levels [B],100% q24-72h by levels [B],100% q48-72h by levels [B],IHD: full dose after dialysis,PD: 15-20 mg/L/d ,"CRRT: Dose for GFR 10-50, monitor levels, [B]","French MA, Cerra FB, Plaut ME, Schentag JJ. Amikacin and gentamicin accumulation pharmacokinetics and nephrotoxicity in critically ill patients. Antimicrob Agents Chemother. 1981; 19: 147-52. [PMID: 7247354] / Kihara M, Ikeda Y, Takagi N, Fujita H, Shibata K, Masumori S, et al. Pharmaco-kinetics of single-dose intravenous amikacin in critically ill patients undergoing slow hemodialysis. Intensive Care Med. 1995; 21: 348-51. [PMID: 7650258] / Kinowski JM, de la Coussaye JE, Bressolle F, Fabre D, Saissi G, Bouvet O, et al. Multiple-dose pharmacokinetics of amikacin and ceftazidime in critically ill patients with septic multiple-organ failure during intermittent hemofiltration. Antimicrob Agents Chemother. 1993; 37: 464-73. [PMID: 8460915] / Regeur L, Colding H, Jensen H, Kampmann JP. Pharmacokinetics of amikacin during hemodialysis and peritoneal dialysis. Antimicrob Agents Chemother. 1977; 11: 214-8.[PMID: 848923]",Monitor levels.
124,Antimicrobial Agents,Antibacterial Antibiotics,Aminoglycoside Antibiotics," Nephrotoxic, ototoxic. Toxicity worse when hyperbilirubinemic. Measure serum levels for efficacy and toxicity. Peritoneal absorption increases with presence of inflammation. Vd increases with edema, obesity, and ascites. Do not use once-daily dosing in patients with CrCl <30-40 mL/min or in patients with acute renal failure or uncertain level of kidney function.",Gentamicin,95,1.8/20-60,<5,0.23-0.26,,,,1.7 mg/kg q8h or 5-7 mg/kg qd,,I,1.7 mg/kg q8h or 5-7 mg/kg qd,100% q8-24h [A],100% q12-48h by levels [A],100% q12-48h by levels [A],100% q48-72h by levels [A],IHD: full dose after dialysis,PD: 3-4 mg/L/d ,"CRRT: Dose for GFR 10-50, monitor levels, [A]","de Paepe M, Lameire N, Belpaire F, Bogaert M. Peritoneal pharmacokinetics of gentamicin in man. Clin Nephrol. 1983; 19: 107-9. [PMID: 6839558] / Ernest D, Cutler DJ. Gentamicin clearance during continuous arteriovenous hemodiafiltration. Crit Care Med. 1992; 20: 586-9. [PMID: 1572182] / Pancorbo S, Comty C. Pharmacokinetics of gentamicin in patients undergoing continuous ambulatory peritoneal dialysis. Antimicrob Agents Chemother. 1981; 19: 605-7. [PMID: 7247382] / Thomson AH, Grant AC, Rodger RS, Hughes RL. Gentamicin and vancomycin removal by continuous venovenous hemofiltration. DICP. 1991; 25: 127-9. [PMID: 2058183]",
125,Antimicrobial Agents,Antibacterial Antibiotics,Aminoglycoside Antibiotics," Nephrotoxic, ototoxic. Toxicity worse when hyperbilirubinemic. Measure serum levels for efficacy and toxicity. Peritoneal absorption increases with presence of inflammation. Vd increases with edema, obesity, and ascites. Do not use once-daily dosing in patients with CrCl <30-40 mL/min or in patients with acute renal failure or uncertain level of kidney function.",Kanamycin,50-90,1.8-5.0/40-96,<5,0.19-0.23,,,,7.5 mg/kg q12h,,I,7.5 mg/kg q12h,100% q12-24h [D],100% q24-72h by levels [D],100% q24-72h by levels [D],100% q48-72h by levels [D],IHD: full dose after dialysis,PD: 15-20 mg/L/d ,"CRRT: Dose for GFR 10-50, monitor levels, [D]",,
126,Antimicrobial Agents,Antibacterial Antibiotics,Aminoglycoside Antibiotics," Nephrotoxic, ototoxic. Toxicity worse when hyperbilirubinemic. Measure serum levels for efficacy and toxicity. Peritoneal absorption increases with presence of inflammation. Vd increases with edema, obesity, and ascites. Do not use once-daily dosing in patients with CrCl <30-40 mL/min or in patients with acute renal failure or uncertain level of kidney function.",Streptomycin,70,2.5/100,35,0.26,,,,1-2 g q6-12h(1.0 g q24h for tuberculosis),,"D, I",1-2 g q6-12h(1.0 g q24h for tuberculosis),q24h[D],q24-72h [D],q24-72h [D],q72-96h [D],IHD: normal dose after dialysis,PD: 20-40 mg/L/d ,"CRRT: Dose for GFR 10-50, monitor levels, [D]",,May be less nephrotoxic but more ototoxic than other members of class.
127,Antimicrobial Agents,Antibacterial Antibiotics,Aminoglycoside Antibiotics," Nephrotoxic, ototoxic. Toxicity worse when hyperbilirubinemic. Measure serum levels for efficacy and toxicity. Peritoneal absorption increases with presence of inflammation. Vd increases with edema, obesity, and ascites. Do not use once-daily dosing in patients with CrCl <30-40 mL/min or in patients with acute renal failure or uncertain level of kidney function.",Tobramycin,95,2.5/27-60,<5,0.22-0.33,,,,1.7 mg/kg q8h or 5-7 mg/kg qd,,I,1.7 mg/kg q8h or 5-7 mg/kg qd,100% q8-24h [A],100% q24-48h by levels [A],100% q24-48h by levels [A],100% q48-72h by levels [A],IHD: full dose after dialysis,PD: 3-4 mg/L/d ,"CRRT: Dose for GFR 10-50, monitor levels, [B]","Aarons L, Vozeh S, Wenk M, Weiss P, Follath F. Population pharmacokinetics of tobramycin. Br J Clin Pharmacol. 1989; 28: 305-14. [PMID: 2789924] / Armstrong DK, Hidalgo HA, Eldadah M. Vancomycin and tobramycin clearance in an infant during continuous hemofiltration. Ann Pharmacother. 1993; 27: 224-7. [PMID: 8439703] / Brogden RN, Pinder RM, Sawyer PR, Speight TM, Avery GS. Tobramycin: a review of its antibacterial and pharmacokinetic properties and therapeutic use. Drugs. 1976; 12: 166-200. [PMID: 789045] / Bunke CM, Aronoff GR, Brier ME, Sloan RS, Luft FC. Tobramycin kinetics during continuous ambulatory peritoneal dialysis. Clin Pharmacol Ther. 1983; 34: 110-6. [PMID: 6861432] / Cigarran-Guldris S, Brier ME, Golper TA. Tobramycin clearance during simulated continuous arteriovenous hemodialysis. Contrib Nephrol. 1991; 93: 120-3. [PMID: 1802559]",
128,Antimicrobial Agents,Antibacterial Antibiotics,Cephalosporin Antibiotics,,Cefaclor,70,1/3,25,0.24-0.35,,,,250-500 mg q8h,,,250-500 mg q8h,100% [B],100% [B],100% [B],100% [B],"IHD: 250-500 mg after dialysis, [B]",PD: 250-500 mg q8h ,CRRT: Not applicable,"Spyker DA, Gober LL, Scheld WM, Sande MA, Bolton WK. Pharmacokinetics of cefaclor in renal failure: effects of multiple doses and hemodialysis. Antimicrob Agents Chemother. 1982; 21: 278-81. [PMID: 7073265]",
129,Antimicrobial Agents,Antibacterial Antibiotics,Cephalosporin Antibiotics,,Cefadroxil,70-90,1.4/22,20,0.31,,,,0.5-1 g q12h,,I,0.5-1 g q12h,q12h [A],q12-24h [A],q12-24h [A],q36h[A],IHD: 0.5-1 g after dialysis,PD: 0.5 g/d ,CRRT: Not applicable,"Cutler RE, Blair AD, Kelly MR. Cefadroxil kinetics in patients with renal insufficiency. Clin Pharmacol Ther. 1979; 25: 514-21. [PMID: 436355] / Leroy A, Humbert G, Godin M, Fillastre JP. Pharmacokinetics of cefadroxil in patients with impaired renal function. J Antimicrob Chemother. 1982; 10 Suppl B: 39-46. [PMID: 7142092]",
130,Antimicrobial Agents,Antibacterial Antibiotics,Cephalosporin Antibiotics,,Cefamandole,50-100,1/6-11,75,0.16-0.25,,,,0.5-1 g q4-8h,,I,0.5-1 g q4-8h,q6h[A],q6-8h [A],q6-8h [A],q8-12h [A],IHD: 0.5-1 g after dialysis,PD: 0.5-1 g q12h ,"CRRT: Dose for GFR 10-50, [D]","Czerwinski AW, Pederson JA. Pharmacokinetics of cefamandole in patients with renal impairment. Antimicrob Agents Chemother. 1979; 15: 161-4. [PMID: 426510] / Gambertoglio JG, Aziz NS, Lin ET, Grausz H, Naughton JL, Benet LZ. Cefa-mandole kinetics in uremic patients undergoing hemodialysis. Clin Pharmacol Ther. 1979; 26: 592-9. [PMID: 498702] / Pancorbo S, Comty C. Pharmacokinetics of cefamandole in patients undergoing continuous ambulatory peritoneal dialysis. Perit Dial Bull. 1983; 2: 135-7. [PMID unavailable]",
131,Antimicrobial Agents,Antibacterial Antibiotics,Cephalosporin Antibiotics,,Cefazolin,75-95,2/40-70,80,0.13-0.22,,,,0.25-2 g q6h,,I,0.25-2 g q6h,100% q8h[A],100% q12h [A],100% q12h [A],50% q24-48h [A],"IHD: 15-20 mg/kg after dialysis, [B]",PD: 0.5 g q12h ,"CRRT: Dose for GFR 10-50, [D]","Brogard JM, Pinget M, Brandt C, Lavillaureix J. Pharmacokinetics of cefazolin in patients with renal failure; special reference to hemodialysis. J Clin Pharmacol. 1977; 17: 225-30. [PMID: 849996] / Fogel MA, Nussbaum PB, Feintzeig ID, Hunt WA, Gavin JP, Kim RC. Cefazolin in chronic hemodialysis patients: a safe, effective alternative to vancomycin. Am J Kidney Dis. 1998; 32: 401-9. [PMID: 9740155] / Kaye D, Wenger N, Agarwal B. Pharmacology of intraperitoneal cefazolin in patients undergoing peritoneal dialysis. Antimicrob Agents Chemother. 1978; 14: 318-21. [PMID: 708010] / Marx MA, Frye RF, Matzke GR, Golper TA. Cefazolin as empiric therapy in hemodialysis-related infections: efficacy and blood concentrations. Am J Kidney Dis. 1998; 32: 410-4. [PMID: 9740156] / Sowinski KM, Mueller BA, Grabe DW, Manley HJ, Frye RF, Bailie GR, et al. Cefazolin dialytic clearance by high-efficiency and high-flux hemodialyzers. Am J Kidney Dis. 2001; 37: 766-76. [PMID: 11273877]",
132,Antimicrobial Agents,Antibacterial Antibiotics,Cephalosporin Antibiotics,,Cefdinir,12-31,1.7/4-21,60-73,1.6-2.1,,,,300 mg q12h or600 mg q24h,,,300 mg q12h or600 mg q24h,100%[A],100%[A],300 mg q24h,300 mg q48h[B],"IHD: Dose after dialysis, [B]","PD: Dose for GFR <10, [B]",CRRT: Not applicable,"Hishida A, Ohishi K, Nagashima S, Kanamaru M, Obara M, Kitada A. Pharmacokinetic study of an oral cephalosporin, cefdinir, in hemodialysis patients. Antimicrob Agents Chemother. 1998; 42: 1718-21. [PMID: 9661010] / Tomino Y, Fukui M, Hamada C, Inoue S, Osada S. Pharmacokinetics of cefdinir and its transfer to dialysate in patients with chronic renal failure undergoing continuous ambulatory peritoneal dialysis. Arzneimittelforschung. 1998; 48: 862-7. [PMID: 9748717]",HD clearance (4 hr) is 76 mL/min with 61% fractional removal of drug. PD removal is minimal.
133,Antimicrobial Agents,Antibacterial Antibiotics,Cephalosporin Antibiotics,,Cefditoren,>99,0.8-1.6/2.7-4.7,88,0.1,,,,200-400 mg q12h,,"D, I",200-400 mg q12h,100% [B],100% [B],200 mg q12h,200 mg q24h [B],"IHD: Dose for GFR <10, [D]","PD: No data, [D]",CRRT: Not applicable,,Drug reduces plasma carnitine levels. Patients with reduced muscle mass and patients with renal failure may be at increased risk. HD (4 hr) removed 30% of dose but did not change elimination half-life. 
134,Antimicrobial Agents,Antibacterial Antibiotics,Cephalosporin Antibiotics,,Cefepime,85,2.2/18,16,0.3,,,,250-2000 mg q8-12h,,"D, I",250-2000 mg q8-12h,100% [A],50-100% q24h [A],50-100% q24h [A],25-50% q24h [A],IHD: Dose for GFR <10,PD: Dose for GFR <10,"CRRT: 1-2 g q12h, [A]","Allaouchiche B, Breilh D, Jaumain H, Gaillard B, Renard S, Saux MC. Pharmaco-kinetics of cefepime during continuous venovenous hemodiafiltration. Antimicrob Agents Chemother. 1997; 41: 2424-7. [PMID: 9371344] / Barbhaiya RH, Knupp CA, Forgue ST, Matzke GR, Guay DR, Pittman KA. Pharmacokinetics of cefepime in subjects with renal insufficiency. Clin Pharmacol Ther. 1990; 48: 268-76. [PMID: 2401125] / Barbhaiya RH, Forgue ST, Gleason CR, Knupp CA, Pittman KA, Weidler DJ, et al. Pharmacokinetics of cefepime after single and multiple intravenous administrations in healthy subjects. Antimicrob Agents Chemother. 1992; 36: 552-7. [PMID: 1622165] / Barbhaiya RH, Knupp CA, Pfeffer M, Zaccardelli D, Dukes GM, Mattern W, et al. Pharmacokinetics of cefepime in patients undergoing continuous ambulatory peritoneal dialysis. Antimicrob Agents Chemother. 1992; 36: 1387-91. [PMID: 1510432] / Malone RS, Fish DN, Abraham E, Teitelbaum I. Pharmacokinetics of cefepime during continuous renal replacement therapy in critically ill patients. Antimicrob Agents Chemother. 2001; 45: 3148-55. [PMID: 11600370]",
135,Antimicrobial Agents,Antibacterial Antibiotics,Cephalosporin Antibiotics,,Cefoperazone,20,1.6-2.5/2.9,90,0.14-0.20,,,,1-2 g q12h,,D,1-2 g q12h,100% [A],100% [A],100% [A],100% [A],IHD: 1 g after dialysis,PD: None ,"CRRT: Dose for GFR 10-50, [C]","Golper TA. Drug removal during continuous hemofiltration or hemodialysis. Contrib Nephrol. 1991; 93: 110-6. [PMID: 1802557] / Golper TA, Marx MA. Drug dosing adjustments during continuous renal replacement therapies. Kidney Int Suppl. 1998; 66: S165-8. [PMID: 9573596] / Greenfield RA, Gerber AU, Craig WA. Pharmacokinetics of cefoperazone in patients with normal and impaired hepatic and renal function. Rev Infect Dis. 1983; 5 Suppl 1: S127-36. [PMID: 6221382] / Keller E, Jansen A, Pelz K, Hoppe-Seyler G, Schollmeyer P. Intraperitoneal and intravenous cefoperazone kinetics during continuous ambulatory peritoneal dialysis. Clin Pharmacol Ther. 1984; 35: 208-13. [PMID: 6692648] / Spyker DA, Richmond JD, Scheld WM, Bolton WK. Pharmacokinetics of multiple-dose cefoperazone in hemodialysis patients. Am J Nephrol. 1985; 5: 355-60. [PMID: 4061504] / Trollfors B, Ahlm&#233; n J, Alestig K. Renal function during cefoperazone treatment. J Antimicrob Chemother. 1982; 9: 485-7. [PMID: 6213595]",
136,Antimicrobial Agents,Antibacterial Antibiotics,Cephalosporin Antibiotics,,Cefotaxime,60,1/15,37,0.15-0.55,,,,1-2 g q6-12h,,I,1-2 g q6-12h,q6h [A],q6-12h [A],q6-12h [A],q24h or dose [A],IHD: 0.5-2 g after dialysis,PD: 1 g/d ,"CRRT: 1 g q12h, [B]","Albin HC, Demotes-Mainard FM, Bouchet JL, Vincon GA, Martin-Dupont C. Pharmacokinetics of intravenous and intraperitoneal cefotaxime in chronic ambulatory peritoneal dialysis. Clin Pharmacol Ther. 1985; 38: 285-9. [PMID: 4028623] / Doluisio JT. Clinical pharmacokinetics of cefotaxime in patients with normal and reduced renal function. Rev Infect Dis. 1982; 4 Suppl: S333-45. [PMID: 6294782] / Golper TA. Drug removal during continuous hemofiltration or hemodialysis. Contrib Nephrol. 1991; 93: 110-6. [PMID: 1802557] / Golper TA, Marx MA. Drug dosing adjustments during continuous renal replacement therapies. Kidney Int Suppl. 1998; 66: S165-8. [PMID: 9573596] / Ings RM, Fillastre JP, Godin M, Leroy A, Humbert G. The pharmacokinetics of cefotaxime and its metabolites in subjects with normal and impaired renal function. Rev Infect Dis. 1982; 4 Suppl: S379-91. [PMID: 6294787] / Petersen J, Stewart RD, Catto GR, Edward N. Pharmacokinetics of intraperitoneal cefotaxime treatment of peritonitis in patients on continuous ambulatory peritoneal dialysis. Nephron. 1985; 40: 79-82. [PMID: 4000338] / Rodondi LC, Flaherty JF, Schoenfeld P, Barriere SL, Gambertoglio JG. Influence of coadministration on the pharmacokinetics of mezlocillin and cefotaxime in healthy volunteers and in patients with renal failure. Clin Pharmacol Ther. 1989; 45: 527-34. [PMID: 2721108] / Vos MC, Vincent HH, Yzerman EPF, et al. Drug clearance by continuous haemofiltration: results with the AN-69 capillary haemofilter and recommended dose adjustments for seven antibiotics. Drug Invest. 1994; 7: 315-22. [PMID unavailable]",
